id,authors,year,field,running_variable,cutoff,treatment,outcome,finding,sharp_fuzzy,country,variant,source
16,Lavy,2002,Education,Frequency of school type in community,Performance-based incentive eligibility threshold,Performance-based incentives for teachers,Test scores and dropout rates,Examined teacher incentive programs in Israeli secondary schools,Fuzzy,Israel,Standard,Lee-Lemieux
17,Lavy,2004,Education,School matriculation rates,Pay-for-performance threshold,Pay-for-performance incentives for teachers,Test scores,Studied teacher pay-for-performance effects on student achievement,Fuzzy,Israel,Standard,Lee-Lemieux
18,Lavy,2006,Education,Geographic location,School choice boundary,School choice (free busing to alternative schools),Dropout rates and test scores,Studied school choice policies on student outcomes in Tel Aviv,Fuzzy,Israel,Geographic,Lee-Lemieux
19,Goolsbee and Guryan,2006,Education,Proportion of students eligible for lunch program,E-Rate subsidy eligibility threshold,Internet subsidies for schools (E-Rate),Internet access and test scores,Examined impact of internet subsidies on schools and achievement,Fuzzy,United States,Standard,Lee-Lemieux
20,Guryan,2001,Education,Relative average property values,State education aid formula threshold,State education aid,School spending and test scores,Studied state-level equalization of school spending on outcomes in Massachusetts,Fuzzy,United States,Standard,Lee-Lemieux
21,Figlio and Kenny,2009,Education,Grading points,D or F grade threshold,D or F grade in school performance measure,Private donations to school,Examined how accountability grades affected private donations to Florida schools,Sharp,United States,Standard,Lee-Lemieux
22,Leuven Lindahl Oosterbeek and Webbink,2007,Education,Percent disadvantaged minority pupils,Eligibility threshold for extra funding,Extra funding for disadvantaged schools,Test scores,Found little evidence that extra funding improved test scores in Dutch primary schools,Fuzzy,Netherlands,Standard,Lee-Lemieux
23,Canton and Blom,2004,Education,Economic need index,Eligibility threshold for student loans,Student loan receipt,University enrollment and GPA,Examined impact of student loans on higher education access in Mexico,Fuzzy,Mexico,Standard,Lee-Lemieux
24,Asadullah,2005,Education,School enrollment,Class size thresholds,Smaller class size,Examination pass rate,Examined class size effects in Bangladesh secondary schools,Fuzzy,Bangladesh,Maimonides' Rule,Lee-Lemieux
25,Van der Klaauw,2008,Education,Poverty rates,Title I federal funding eligibility threshold,Title I federal funding,Test scores and student attendance,Studied federal Title I funding effects on student outcomes in NYC schools,Fuzzy,United States,Standard,Lee-Lemieux
26,Angrist and Rokkanen,2015,Education,Exam school admission score,Admission threshold,Admission to exam school,Student outcomes,Used latent factor extrapolation to estimate exam school effects away from cutoff,Fuzzy,United States,Extrapolation,Cattaneo-Titiunik
27,Li Mattei and Mealli,2015,Education,Grant eligibility score,Grant eligibility threshold,University grant receipt,Student dropout,Evaluated university grants on dropout using principal stratification in fuzzy RDD,Fuzzy,Italy,Principal stratification,Cattaneo-Titiunik
28,Cellini Ferreira and Rothstein,2010,Education / Public Economics,Vote share for school bond measures,Approval threshold for bond passage,Passage of school facility investment bond,Housing prices and school quality,Studied value of school facility investments in a dynamic RDD with repeated elections,Sharp,United States,Dynamic RDD,Cattaneo-Titiunik
29,Papay Willett and Murnane,2011,Education,Multiple test scores (language + math),Minimum passing grade on both exams,School admission,Student outcomes,Introduced multi-score RDD — students must pass both exams to be admitted,Sharp,United States,Multi-score RDD,Cattaneo-Titiunik
30,Black,1999,Education / Housing,Geographic location,School attendance zone boundary,Assignment to a higher-quality school district,Housing prices,Pioneer geographic RDD — parents' willingness to pay for better schools via housing prices,Sharp,United States,Geographic RDD (pioneer),Both
31,Bayer Ferreira and McMillan,2007,Education / Housing,Geographic location,School attendance zone boundary,Inclusion in specific school's attendance region,Housing prices and demographics,Examined housing prices across school boundaries; found evidence of sorting,Sharp,United States,Geographic RDD,Lee-Lemieux
32,Lee,2008,Political Economy,Vote share margin (Dem vs Rep),50% vote share,Winning the election (incumbency),Vote share in next election,Large incumbency advantage: barely winning increases next-election win probability by 35-45 pp,Sharp,United States,Canonical RDD example,Both
33,Lee Moretti and Butler,2004,Political Economy,Vote share margin,50% vote share,Incumbency,Roll call votes (ideological positions),Politicians' voting determined by ideology not voter preferences — winners don't moderate,Sharp,United States,Standard,Lee-Lemieux
34,DiNardo and Lee,2004,Labor / Political Economy,Vote share in union representation election,50% majority threshold,Union victory (unionization),Wages and employment,Surprisingly small effects of unionization on wages; virtually no effect on business survival,Sharp,United States,Standard,Lee-Lemieux
35,Albouy,2009,Political Economy,Vote share in election,50% vote share,Party control of congressional seat,Federal expenditures,Studied whether party control of seats affects geographic distribution of federal funds,Sharp,United States,Standard,Lee-Lemieux
36,Albouy,2008,Political Economy,Vote share,50% vote share,Incumbency in US Senate,Roll call votes,Examined whether voters affect or elect policies using Senate incumbency,Sharp,United States,Standard,Lee-Lemieux
37,Ferreira and Gyourko,2009,Political Economy,Vote share,50% vote share,Incumbency in mayoral elections,Local expenditures,Limited effects of party affiliation on spending in US cities,Sharp,United States,Standard,Lee-Lemieux
38,Pettersson-Lidbom,2006,Political Economy,Municipal population,Population thresholds for council size,Number of council seats,Expenditures and tax revenues,Studied whether legislature size affects fiscal policy in Swedish and Finnish municipalities,Sharp,Sweden and Finland,Standard,Lee-Lemieux
39,Pettersson-Lidbom,2008,Political Economy,Left-wing parties' vote share,50% of seats (majority threshold),Left- vs right-wing bloc control,Expenditures and tax revenues,Left-wing governments spend and tax more than right-wing governments,Sharp,Sweden,Standard,Lee-Lemieux
40,Klasnja and Titiunik,2017,Political Economy,Margin of victory,0 (election threshold),Incumbent party won the election,Margin of victory at next election,Incumbency curse: barely winning causes -15 pp drop in next-election performance,Sharp,Brazil (also Mexico Colombia Peru Chile),Standard,Session 5 paper
41,Cattaneo Frandsen and Titiunik,2015,Political Economy,Vote share margin in US Senate,50% vote share,Winning Senate seat,Party advantages,Applied local randomization framework to close Senate elections,Sharp,United States,Local randomization,Cattaneo-Titiunik
42,Keele Titiunik and Zubizarreta,2015,Political Economy,Geographic location (lat/long),Geographic boundary,Exposure to ballot initiatives,Voter turnout,Enhanced geographic RDD with matching to estimate ballot initiative effects on turnout,Sharp,United States,Geographic RDD with matching,Cattaneo-Titiunik
43,Carpenter and Dobkin,2009,Health,Age,21 (minimum legal drinking age),Legal alcohol purchase,Mortality (all-cause especially MVA),Sharp 9% increase in mortality at 21 driven by alcohol-related causes and MVA,Sharp,United States,Standard,Both
44,Card Dobkin and Maestas,2008,Health,Age,65 (Medicare eligibility),Medicare coverage,Health care utilization,Medicare coverage at 65 led to significant increase in health care utilization,Fuzzy,United States,Standard,Lee-Lemieux
45,Card Dobkin and Maestas,2009,Health,Age,65 (Medicare eligibility),Medicare coverage,Insurance coverage and mortality,Studied whether near-universal Medicare at 65 actually saves lives,Fuzzy,United States,Standard,Lee-Lemieux
46,Card and Shore-Sheppard,2004,Health,Birthdate,September 30 1983 (Medicaid expansion),Medicaid eligibility,Overall insurance coverage,Used 1991 Medicaid expansion to study crowd-out of private insurance,Fuzzy,United States,Standard,Lee-Lemieux
47,Ludwig and Miller,2007,Health / Education,County poverty rate,Poverty rate of 300th poorest county (59.1984),Head Start funding assistance,Child mortality,Head Start led to significant reductions in child mortality,Fuzzy,United States,Prototypical RDD,Both
48,McCrary and Royer,2003,Health,Mother's birthdate,School entry date cutoff,Maternal education (via school entry age),Infant health and fertility,Little evidence that maternal education affects infant health outcomes,Fuzzy,United States,Standard,Lee-Lemieux
49,Snyder and Evans,2006,Health,Birthdate,Social Security benefit notch (benefit level change),Higher Social Security payments,Mortality,Surprisingly higher income increased mortality possibly via reduced labor force participation,Sharp,United States,Standard,Lee-Lemieux
50,Barreca Guldi Lindo and Waddell,2011,Health,Birth weight,1500 grams (very low birth weight classification),VLBW classification triggering extra interventions,Infant survival,Demonstrated donut hole approach to address heaping in birth weight data,Fuzzy,United States,Donut hole RDD,Cattaneo-Titiunik
51,Keele Lorch Passarella Small and Titiunik,2017,Health,Geographic location (lat/long),Insurance coverage area boundary,Health insurance coverage,Children's health outcomes,Geographic RDD applied to children's health insurance,Sharp,United States,Geographic RDD,Cattaneo-Titiunik
52,Lee and McCrary,2005,Crime,Age at arrest,18 (age of majority),Adult vs juvenile justice system (harsher sanctions),Arrest rates,Negligible deterrent effect from sharp increase in punishment severity at age 18,Sharp,United States,Standard,Lee-Lemieux
53,Chen and Shapiro,2004,Crime,Classification score (security risk),Score thresholds for prison security level,Higher prison security level,Recidivism (post-release arrest rates),Studied whether higher-security prisons reduce post-release criminal behavior,Fuzzy,United States,Standard,Lee-Lemieux
54,Berk and de Leeuw,1999,Crime,Classification score (security risk),Score threshold for security level,Prison security level assignment,Inmate misconduct,Studied whether prison security level affects inmate behavior,Fuzzy,United States,Standard,Lee-Lemieux
55,Berk and Rauma,1983,Crime,Reported hours of work,Work hours threshold for UI eligibility,UI benefits for ex-prisoners,Recidivism (arrest and parole violation),Early RDD in criminology; studied whether UI benefits for released prisoners reduced recidivism,Fuzzy,United States,Standard,Lee-Lemieux
56,Hjalmarsson,2009,Crime,Criminal history score,Score threshold for incarceration,Incarceration vs non-incarceration sentence,Recidivism,Studied whether incarceration for juveniles reduces or increases subsequent criminal behavior,Fuzzy,United States,Standard,Lee-Lemieux
57,Card Chetty and Weber,2007,Labor,Months employed / job tenure,Eligibility threshold for severance pay / extended UI,Lump-sum severance pay or extended UI benefits,Unemployment duration,Severance pay had little effect (liquidity); extended benefits increased unemployment duration (moral hazard),Sharp,Austria,Standard,Lee-Lemieux
58,Lalive,2007,Labor,Age at start of unemployment spell,Age threshold for benefit duration extension,Extended unemployment benefit duration,Unemployment duration and job quality,Extended benefits significantly increased unemployment duration in Austria,Sharp,Austria,Standard,Lee-Lemieux
59,Lalive,2008,Labor,Age at start of unemployment spell and location,Age threshold for maximum benefit duration,Maximum benefit duration,Unemployment duration,Studied how extended benefit duration affects unemployment spells,Fuzzy,Austria,Standard,Lee-Lemieux
60,Lalive Van Ours and Zweimuller,2006,Labor,Pre-unemployment income and age,Benefit replacement rate and duration thresholds,Benefit replacement rate and potential duration,Unemployment duration,Separated effects of benefit level vs benefit duration on unemployment duration,Sharp,Austria,Standard,Lee-Lemieux
61,Lemieux and Milligan,2008,Labor,Age,Age threshold for welfare benefit eligibility,Cash welfare benefit,Employment and marital status,Studied incentive effects of social assistance using age-based discontinuities in Canada,Fuzzy,Canada,Standard,Lee-Lemieux
62,Leuven and Oosterbeek,2004,Labor,Age of employee,Age threshold for business tax deduction for training,Business tax deduction for training,Training participation and wages,Studied effect of tax deductions on employer-provided training in Netherlands,Sharp,Netherlands,Standard,Lee-Lemieux
63,Behaghel Crepon and Sedillot,2008,Labor,Age of worker,Age threshold for tax exemption (Delalande tax),Tax exemption for hiring older workers,Hiring rates by age group,Perverse effects: tax exemption for older workers actually reduced hiring of workers just below threshold,Sharp,France,Standard,Lee-Lemieux
64,Black Smith Berger and Noel,2003,Labor,Profiling score (expected benefit duration),Profiling score threshold,Mandatory reemployment services (job search assistance),Earnings and benefit receipt,Examined whether mandatory reemployment services reduced unemployment duration in Kentucky,Fuzzy,United States,Standard,Lee-Lemieux
65,Chen and van der Klaauw,2008,Labor,Age at disability decision,Age thresholds in disability insurance rules,Disability insurance benefits,Labor force participation,Studied how disability insurance affects labor supply using age-based discontinuities,Fuzzy,United States,Standard,Lee-Lemieux
66,De Giorgi,2005,Labor,Age at end of unemployment spell,Age threshold for program eligibility,Job search assistance and training (New Deal),Re-employment probability,Studied UK's New Deal welfare-to-work program effects on re-employment,Fuzzy,United Kingdom,Standard,Lee-Lemieux
67,Oreopoulos,2006,Labor / Education,Birth year,Year of change in compulsory schooling law,Extra required year of school,Earnings,Significant returns to compulsory education using changes in UK schooling laws,Fuzzy,United Kingdom,Standard,Lee-Lemieux
68,Cascio and Lewis,2006,Labor / Education,Birthdate,Age at school entry date,Age at school entry (starting school earlier/later),AFQT test scores,Used school entry age cutoffs to study effects on test scores for teenagers,Fuzzy,United States,Standard,Lee-Lemieux
69,Dobkin and Ferreira,2009,Labor / Education,Birthdate,Age at school entry date,Age at school entry,Educational attainment and wages,Studied how school entry laws affect long-run education and labor outcomes,Fuzzy,United States,Standard,Lee-Lemieux
70,Edmonds,2004,Labor / Development,Age of oldest family member,Age threshold for pension receipt,Pension receipt by elderly household member,Child labor supply and school attendance,Pension receipt significantly reduced child labor and increased school attendance in South Africa,Fuzzy,South Africa,Standard,Lee-Lemieux
71,Chay and Greenstone,2003,Environment,Pollution levels (TSP concentrations),Clean Air Act nonattainment designation threshold,Regulatory status (nonattainment),Infant mortality,Counties pushed into compliance experienced significant reductions in infant mortality,Fuzzy,United States,Standard,Lee-Lemieux
72,Chay and Greenstone,2005,Environment,Pollution levels,Nonattainment designation threshold,Regulatory status,Housing prices,Used air quality regulations to estimate willingness to pay for clean air,Fuzzy,United States,Standard,Lee-Lemieux
73,Davis,2008,Environment,License plate number / day of week,Driving restriction day (Hoy No Circula),Restricted automobile use,Hourly air pollutant measures,Studied Mexico City's driving restriction policy and its effect on air pollution,Sharp,Mexico,Standard,Lee-Lemieux
74,Greenstone and Gallagher,2008,Environment,Hazard Ranking System score,Score threshold for Superfund cleanup,Superfund clean-up designation,Housing prices,Found little evidence that Superfund cleanups increased local housing values,Fuzzy,United States,Standard,Lee-Lemieux
75,Pitt and Khandker,1998,Development / Microfinance,Acreage of land,0.5 acres land ownership threshold,Group-based microcredit (Grameen Bank-type),Labor supply and children's school enrollment,Microcredit had significant positive effects with larger effects for female participants,Fuzzy,Bangladesh,Standard,Lee-Lemieux
76,Pitt Khandker McKernan and Latif,1999,Development / Microfinance,Acreage of land,0.5 acres land ownership threshold,Group-based microcredit,Contraceptive use and childbirth,Studied effects of microcredit on reproductive behavior,Fuzzy,Bangladesh,Standard,Lee-Lemieux
77,Dell,2010,Development / History,Geographic location (lat/long),Historical boundary of Peruvian mining mita,Being inside the mita boundary (forced mining labor),Long-run economic outcomes,Mita's effects still visible centuries later; pioneered lat/long geographic RDD,Sharp,Peru,Geographic RDD (pioneer),Cattaneo-Titiunik
78,Battistin and Rettore,2008,Development / Anti-poverty,Pre-assigned probability of being poor,Poverty score threshold,Cash grants (PROGRESA conditional cash transfer),School attendance,Studied PROGRESA effect on enrollment; also methodological (double comparison group),Fuzzy,Mexico,Standard,Lee-Lemieux
79,Buddelmeyer and Skoufias,2004,Development / Anti-poverty,Pre-assigned probability of being poor,Poverty score threshold,Cash grants (PROGRESA),Child labor and school attendance,Studied PROGRESA conditional cash transfer effects on child labor and schooling,Fuzzy,Mexico,Standard,Lee-Lemieux
80,Cole,2009,Finance / Banking,Size of bank,Size threshold for nationalization,Nationalization of private banks,Share of credit granted by public banks,Studied effects of bank nationalization on credit allocation in India,Sharp,India,Standard,Lee-Lemieux
81,Pence,2006,Finance / Housing,Geographic location (state border),State border,State mortgage credit laws (more borrower-friendly),Mortgage loan size,Compared census tracts across state borders to study anti-predatory lending laws,Sharp,United States,Geographic RDD,Lee-Lemieux
82,Card Mas and Rothstein,2008,Urban Economics / Segregation,Neighborhood minority share,Unknown tipping point threshold,Minority share exceeding tipping point,Changes in racial composition (white flight),Found evidence that once minority share crosses a threshold white flight accelerates,Sharp,United States,Unknown cutoff,Both
83,Ferreira,2007,Housing / Public Economics,Age,Age threshold for Proposition 13 property tax benefit,Coverage of property tax benefit,Residential mobility,California's Prop 13 tax benefits reduced residential mobility,Fuzzy,United States,Standard,Lee-Lemieux
84,Baum-Snow and Marion,2009,Housing,Percentage of eligible households,Eligibility threshold for Low Income Housing Tax Credits,Increased housing tax credit subsidies,New housing construction and resident characteristics,Studied effects of housing tax credit subsidies on neighborhoods,Fuzzy,United States,Standard,Lee-Lemieux
85,Buettner,2006,Public Finance,Tax base,Tax rate thresholds in fiscal equalization formula,Implicit marginal tax rate on grants,Business tax rate,Studied incentive effect of fiscal equalization transfers on local tax policy in Germany,Sharp,Germany,Standard,Lee-Lemieux
86,Grembi Nannicini and Troiano,2016,Public Finance,Municipal population,Population threshold determining fiscal rules,Relaxation of fiscal rules,Fiscal outcomes (spending and deficit),Fiscal rules matter; used difference-in-discontinuities design,Sharp,Italy,Difference-in-discontinuities,Cattaneo-Titiunik
87,Busse Silva-Risso and Zettelmeyer,2006,Industrial Organization,Promotion eligibility,Eligibility cutoff for cash-back promotion,1000 dollar cash-back auto manufacturer promotion,Price pass-through to consumers,Early IO application; studied how much of cash-back was passed through to consumers,Sharp,United States,Standard,Cattaneo-Titiunik
88,Ganong and Jager,2018,Labor / Public Economics,Earnings,Kink point in benefit/tax schedule,Change in slope of benefit schedule (not a jump),Labor supply,Studied kink RDD designs; developed permutation test for regression kink design,Kink,Not specified,Regression Kink Design,Cattaneo-Titiunik
89,Hahn Todd and van der Klaauw,1999,Labor / Discrimination,Number of employees at firm,Firm size threshold for antidiscrimination law,Coverage of federal antidiscrimination law,Minority employment,Foundational RDD methodology paper; also tested whether law coverage affected minority employment,Fuzzy,United States,Standard,Lee-Lemieux
90,Battistin and Rettore,2002,Labor,Attitudinal test score,Score threshold for training program eligibility,Computer skills training program,Employment rates,Studied job training program effects on employment in Italy,Fuzzy,Italy,Standard,Lee-Lemieux
91,Edmonds Mammen and Miller,2005,Development / Household,Age of oldest family member,Age threshold for pension eligibility,Pension receipt,Household composition and living arrangements,Studied how pension receipt affects household structure in South Africa,Fuzzy,South Africa,Standard,Lee-Lemieux
